Block Name,Point ID,material_id,Points_0,Points_1,Points_2,Points_Magnitude
block_107,10,107,-0.364276,0.218077,12.446,12.4532
block_107,11,107,-0.36195,0.626916,12.446,12.467
block_107,12,107,-0.364276,0.218077,10.668,10.6764
block_107,13,107,-0.36195,0.626916,10.668,10.6925
block_107,14,107,-0.7239,0.417944,12.446,12.474
block_107,15,107,-0.7239,0.417944,10.668,10.7007
block_107,16,107,-0.381395,-0.208972,12.446,12.4536
block_107,17,107,-0.7239,5.55112e-17,12.446,12.467
block_107,18,107,-0.7239,-0.417944,12.446,12.474
block_107,19,107,-0.381395,-0.208972,10.668,10.6769
block_107,20,107,-0.7239,5.55112e-17,10.668,10.6925
block_107,21,107,-0.7239,-0.417944,10.668,10.7007
block_107,22,107,0,-0.835888,12.446,12.474
block_107,23,107,-0.00972244,-0.434784,12.446,12.4536
block_107,24,107,-0.36195,-0.626916,12.446,12.467
block_107,25,107,0,-0.835888,10.668,10.7007
block_107,26,107,-0.00972244,-0.434784,10.668,10.6769
block_107,27,107,-0.36195,-0.626916,10.668,10.6925
block_107,28,107,0.371672,-0.225812,12.446,12.4536
block_107,29,107,0.36195,-0.626916,12.446,12.467
block_107,30,107,0.371672,-0.225812,10.668,10.6769
block_107,31,107,0.36195,-0.626916,10.668,10.6925
block_107,32,107,0.7239,-0.417944,12.446,12.474
block_107,33,107,0.7239,-0.417944,10.668,10.7007
block_107,34,107,0.7239,-5.55112e-17,12.446,12.467
block_107,35,107,0.7239,-5.55112e-17,10.668,10.6925
block_107,36,107,0.00909704,-0.0185493,12.446,12.446
block_107,37,107,0.00909704,-0.0185493,10.668,10.668
block_108,0,108,0,0.835888,14.224,14.2485
block_108,1,108,0.00636137,0.42521,14.224,14.2304
block_108,2,108,0.36195,0.626916,14.224,14.2424
block_108,3,108,0,0.835888,12.446,12.474
block_108,4,108,0.00636137,0.42521,12.446,12.4533
block_108,5,108,0.36195,0.626916,12.446,12.467
block_108,6,108,0.368245,0.217017,14.224,14.2304
block_108,7,108,0.7239,0.417944,14.224,14.2485
block_108,8,108,0.368245,0.217017,12.446,12.4533
block_108,9,108,0.7239,0.417944,12.446,12.474
block_108,10,108,-0.364276,0.218077,14.224,14.2303
block_108,11,108,-0.36195,0.626916,14.224,14.2424
block_108,12,108,-0.364276,0.218077,12.446,12.4532
block_108,13,108,-0.36195,0.626916,12.446,12.467
block_108,14,108,-0.7239,0.417944,14.224,14.2485
block_108,15,108,-0.7239,0.417944,12.446,12.474
block_108,16,108,-0.381395,-0.208972,14.224,14.2306
block_108,17,108,-0.7239,5.55112e-17,14.224,14.2424
block_108,18,108,-0.7239,-0.417944,14.224,14.2485
block_108,19,108,-0.381395,-0.208972,12.446,12.4536
block_108,20,108,-0.7239,5.55112e-17,12.446,12.467
block_108,21,108,-0.7239,-0.417944,12.446,12.474
block_108,22,108,0,-0.835888,14.224,14.2485
block_108,23,108,-0.00972244,-0.434784,14.224,14.2306
block_108,24,108,-0.36195,-0.626916,14.224,14.2424
block_108,25,108,0,-0.835888,12.446,12.474
block_108,26,108,-0.00972244,-0.434784,12.446,12.4536
block_108,27,108,-0.36195,-0.626916,12.446,12.467
block_108,28,108,0.371672,-0.225812,14.224,14.2306
block_108,29,108,0.36195,-0.626916,14.224,14.2424
block_108,30,108,0.371672,-0.225812,12.446,12.4536
block_108,31,108,0.36195,-0.626916,12.446,12.467
block_108,32,108,0.7239,-0.417944,14.224,14.2485
block_108,33,108,0.7239,-0.417944,12.446,12.474
block_108,34,108,0.7239,-5.55112e-17,14.224,14.2424
block_108,35,108,0.7239,-5.55112e-17,12.446,12.467
block_108,36,108,0.00909704,-0.0185493,14.224,14.224
block_108,37,108,0.00909704,-0.0185493,12.446,12.446
block_109,0,109,0,0.835888,16.002,16.0238
block_109,1,109,0.00636137,0.42521,16.002,16.0076
block_109,2,109,0.36195,0.626916,16.002,16.0184
block_109,3,109,0,0.835888,14.224,14.2485
block_109,4,109,0.00636137,0.42521,14.224,14.2304
block_109,5,109,0.36195,0.626916,14.224,14.2424
block_109,6,109,0.368245,0.217017,16.002,16.0077
block_109,7,109,0.7239,0.417944,16.002,16.0238
block_109,8,109,0.368245,0.217017,14.224,14.2304
block_109,9,109,0.7239,0.417944,14.224,14.2485
block_109,10,109,-0.364276,0.218077,16.002,16.0076
block_109,11,109,-0.36195,0.626916,16.002,16.0184
block_109,12,109,-0.364276,0.218077,14.224,14.2303
block_109,13,109,-0.36195,0.626916,14.224,14.2424
block_109,14,109,-0.7239,0.417944,16.002,16.0238
block_109,15,109,-0.7239,0.417944,14.224,14.2485
block_109,16,109,-0.381395,-0.208972,16.002,16.0079
block_109,17,109,-0.7239,5.55112e-17,16.002,16.0184
block_109,18,109,-0.7239,-0.417944,16.002,16.0238
block_109,19,109,-0.381395,-0.208972,14.224,14.2306
block_109,20,109,-0.7239,5.55112e-17,14.224,14.2424
block_109,21,109,-0.7239,-0.417944,14.224,14.2485
block_109,22,109,0,-0.835888,16.002,16.0238
block_109,23,109,-0.00972244,-0.434784,16.002,16.0079
block_109,24,109,-0.36195,-0.626916,16.002,16.0184
block_109,25,109,0,-0.835888,14.224,14.2485
block_109,26,109,-0.00972244,-0.434784,14.224,14.2306
block_109,27,109,-0.36195,-0.626916,14.224,14.2424
block_109,28,109,0.371672,-0.225812,16.002,16.0079
block_109,29,109,0.36195,-0.626916,16.002,16.0184
block_109,30,109,0.371672,-0.225812,14.224,14.2306
block_109,31,109,0.36195,-0.626916,14.224,14.2424
block_109,32,109,0.7239,-0.417944,16.002,16.0238
block_109,33,109,0.7239,-0.417944,14.224,14.2485
block_109,34,109,0.7239,-5.55112e-17,16.002,16.0184
block_109,35,109,0.7239,-5.55112e-17,14.224,14.2424
block_109,36,109,0.00909704,-0.0185493,16.002,16.002
block_109,37,109,0.00909704,-0.0185493,14.224,14.224
block_110,0,110,0,0.835888,17.78,17.7996
block_110,1,110,0.00636137,0.42521,17.78,17.7851
block_110,2,110,0.36195,0.626916,17.78,17.7947
block_110,3,110,0,0.835888,16.002,16.0238
block_110,4,110,0.00636137,0.42521,16.002,16.0076
block_110,5,110,0.36195,0.626916,16.002,16.0184
block_110,6,110,0.368245,0.217017,17.78,17.7851
block_110,7,110,0.7239,0.417944,17.78,17.7996
block_110,8,110,0.368245,0.217017,16.002,16.0077
block_110,9,110,0.7239,0.417944,16.002,16.0238
block_110,10,110,-0.364276,0.218077,17.78,17.7851
block_110,11,110,-0.36195,0.626916,17.78,17.7947
block_110,12,110,-0.364276,0.218077,16.002,16.0076
block_110,13,110,-0.36195,0.626916,16.002,16.0184
block_110,14,110,-0.7239,0.417944,17.78,17.7996
block_110,15,110,-0.7239,0.417944,16.002,16.0238
block_110,16,110,-0.381395,-0.208972,17.78,17.7853
block_110,17,110,-0.7239,5.55112e-17,17.78,17.7947
block_110,18,110,-0.7239,-0.417944,17.78,17.7996
block_110,19,110,-0.381395,-0.208972,16.002,16.0079
block_110,20,110,-0.7239,5.55112e-17,16.002,16.0184
block_110,21,110,-0.7239,-0.417944,16.002,16.0238
block_110,22,110,0,-0.835888,17.78,17.7996
block_110,23,110,-0.00972244,-0.434784,17.78,17.7853
block_110,24,110,-0.36195,-0.626916,17.78,17.7947
block_110,25,110,0,-0.835888,16.002,16.0238
block_110,26,110,-0.00972244,-0.434784,16.002,16.0079
block_110,27,110,-0.36195,-0.626916,16.002,16.0184
block_110,28,110,0.371672,-0.225812,17.78,17.7853
block_110,29,110,0.36195,-0.626916,17.78,17.7947
block_110,30,110,0.371672,-0.225812,16.002,16.0079
block_110,31,110,0.36195,-0.626916,16.002,16.0184
block_110,32,110,0.7239,-0.417944,17.78,17.7996
block_110,33,110,0.7239,-0.417944,16.002,16.0238
block_110,34,110,0.7239,-5.55112e-17,17.78,17.7947
block_110,35,110,0.7239,-5.55112e-17,16.002,16.0184
block_110,36,110,0.00909704,-0.0185493,17.78,17.78
block_110,37,110,0.00909704,-0.0185493,16.002,16.002
block_111,0,111,0,0.835888,19.558,19.5759
block_111,1,111,0.00636137,0.42521,19.558,19.5626
block_111,2,111,0.36195,0.626916,19.558,19.5714
block_111,3,111,0,0.835888,17.78,17.7996
block_111,4,111,0.00636137,0.42521,17.78,17.7851
block_111,5,111,0.36195,0.626916,17.78,17.7947
block_111,6,111,0.368245,0.217017,19.558,19.5627
block_111,7,111,0.7239,0.417944,19.558,19.5759
block_111,8,111,0.368245,0.217017,17.78,17.7851
block_111,9,111,0.7239,0.417944,17.78,17.7996
block_111,10,111,-0.364276,0.218077,19.558,19.5626
block_111,11,111,-0.36195,0.626916,19.558,19.5714
block_111,12,111,-0.364276,0.218077,17.78,17.7851
block_111,13,111,-0.36195,0.626916,17.78,17.7947
block_111,14,111,-0.7239,0.417944,19.558,19.5759
block_111,15,111,-0.7239,0.417944,17.78,17.7996
block_111,16,111,-0.381395,-0.208972,19.558,19.5628
block_111,17,111,-0.7239,5.55112e-17,19.558,19.5714
block_111,18,111,-0.7239,-0.417944,19.558,19.5759
block_111,19,111,-0.381395,-0.208972,17.78,17.7853
block_111,20,111,-0.7239,5.55112e-17,17.78,17.7947
block_111,21,111,-0.7239,-0.417944,17.78,17.7996
block_111,22,111,0,-0.835888,19.558,19.5759
block_111,23,111,-0.00972244,-0.434784,19.558,19.5628
block_111,24,111,-0.36195,-0.626916,19.558,19.5714
block_111,25,111,0,-0.835888,17.78,17.7996
block_111,26,111,-0.00972244,-0.434784,17.78,17.7853
block_111,27,111,-0.36195,-0.626916,17.78,17.7947
block_111,28,111,0.371672,-0.225812,19.558,19.5628
block_111,29,111,0.36195,-0.626916,19.558,19.5714
block_111,30,111,0.371672,-0.225812,17.78,17.7853
block_111,31,111,0.36195,-0.626916,17.78,17.7947
block_111,32,111,0.7239,-0.417944,19.558,19.5759
block_111,33,111,0.7239,-0.417944,17.78,17.7996
block_111,34,111,0.7239,-5.55112e-17,19.558,19.5714
block_111,35,111,0.7239,-5.55112e-17,17.78,17.7947
block_111,36,111,0.00909704,-0.0185493,19.558,19.558
block_111,37,111,0.00909704,-0.0185493,17.78,17.78
block_112,0,112,0,0.835888,21.336,21.3524
block_112,1,112,0.00636137,0.42521,21.336,21.3402
block_112,2,112,0.36195,0.626916,21.336,21.3483
block_112,3,112,0,0.835888,19.558,19.5759
block_112,4,112,0.00636137,0.42521,19.558,19.5626
block_112,5,112,0.36195,0.626916,19.558,19.5714
block_112,6,112,0.368245,0.217017,21.336,21.3403
block_112,7,112,0.7239,0.417944,21.336,21.3524
block_112,8,112,0.368245,0.217017,19.558,19.5627
block_112,9,112,0.7239,0.417944,19.558,19.5759
block_112,10,112,-0.364276,0.218077,21.336,21.3402
block_112,11,112,-0.36195,0.626916,21.336,21.3483
block_112,12,112,-0.364276,0.218077,19.558,19.5626
block_112,13,112,-0.36195,0.626916,19.558,19.5714
block_112,14,112,-0.7239,0.417944,21.336,21.3524
block_112,15,112,-0.7239,0.417944,19.558,19.5759
block_112,16,112,-0.381395,-0.208972,21.336,21.3404
block_112,17,112,-0.7239,5.55112e-17,21.336,21.3483
block_112,18,112,-0.7239,-0.417944,21.336,21.3524
block_112,19,112,-0.381395,-0.208972,19.558,19.5628
block_112,20,112,-0.7239,5.55112e-17,19.558,19.5714
block_112,21,112,-0.7239,-0.417944,19.558,19.5759
block_112,22,112,0,-0.835888,21.336,21.3524
block_112,23,112,-0.00972244,-0.434784,21.336,21.3404
block_112,24,112,-0.36195,-0.626916,21.336,21.3483
block_112,25,112,0,-0.835888,19.558,19.5759
block_112,26,112,-0.00972244,-0.434784,19.558,19.5628
block_112,27,112,-0.36195,-0.626916,19.558,19.5714
block_112,28,112,0.371672,-0.225812,21.336,21.3404
block_112,29,112,0.36195,-0.626916,21.336,21.3483
block_112,30,112,0.371672,-0.225812,19.558,19.5628
block_112,31,112,0.36195,-0.626916,19.558,19.5714
block_112,32,112,0.7239,-0.417944,21.336,21.3524
block_112,33,112,0.7239,-0.417944,19.558,19.5759
block_112,34,112,0.7239,-5.55112e-17,21.336,21.3483
block_112,35,112,0.7239,-5.55112e-17,19.558,19.5714
block_112,36,112,0.00909704,-0.0185493,21.336,21.336
block_112,37,112,0.00909704,-0.0185493,19.558,19.558
block_113,0,113,0,0.835888,23.114,23.1291
block_113,1,113,0.00636137,0.42521,23.114,23.1179
block_113,2,113,0.36195,0.626916,23.114,23.1253
block_113,3,113,0,0.835888,21.336,21.3524
block_113,4,113,0.00636137,0.42521,21.336,21.3402
block_113,5,113,0.36195,0.626916,21.336,21.3483
block_113,6,113,0.368245,0.217017,23.114,23.118
block_113,7,113,0.7239,0.417944,23.114,23.1291
block_113,8,113,0.368245,0.217017,21.336,21.3403
block_113,9,113,0.7239,0.417944,21.336,21.3524
block_113,10,113,-0.364276,0.218077,23.114,23.1179
block_113,11,113,-0.36195,0.626916,23.114,23.1253
block_113,12,113,-0.364276,0.218077,21.336,21.3402
block_113,13,113,-0.36195,0.626916,21.336,21.3483
block_113,14,113,-0.7239,0.417944,23.114,23.1291
block_113,15,113,-0.7239,0.417944,21.336,21.3524
block_113,16,113,-0.381395,-0.208972,23.114,23.1181
block_113,17,113,-0.7239,5.55112e-17,23.114,23.1253
block_113,18,113,-0.7239,-0.417944,23.114,23.1291
block_113,19,113,-0.381395,-0.208972,21.336,21.3404
block_113,20,113,-0.7239,5.55112e-17,21.336,21.3483
block_113,21,113,-0.7239,-0.417944,21.336,21.3524
block_113,22,113,0,-0.835888,23.114,23.1291
block_113,23,113,-0.00972244,-0.434784,23.114,23.1181
block_113,24,113,-0.36195,-0.626916,23.114,23.1253
block_113,25,113,0,-0.835888,21.336,21.3524
block_113,26,113,-0.00972244,-0.434784,21.336,21.3404
block_113,27,113,-0.36195,-0.626916,21.336,21.3483
block_113,28,113,0.371672,-0.225812,23.114,23.1181
block_113,29,113,0.36195,-0.626916,23.114,23.1253
block_113,30,113,0.371672,-0.225812,21.336,21.3404
